acronym	Partnership	action
InsBIOration	M-ERA.NET 3	ERA-NET Cofund
BioProMedFood	PRIMA	Article 185
BALSA	M-ERA.NET 3	ERA-NET Cofund
BioDiv-support	BiodivScen	ERA-NET Cofund
BioLens	EnerDigit	ERA-NET Cofund
INJECT-BIO	M-ERA.NET 2	ERA-NET Cofund
BEATRICE	M-ERA.NET 3	ERA-NET Cofund
BICEPS	FOSC	ERA-NET Cofund
AGROCOMPOSIT	EJP SOIL	EJP Cofund
AdjustEBOVGP-Dx	EDCTP2	Article 185
BIOFOODPACK	M-ERA.NET 2	ERA-NET Cofund
POLYMAGIC	M-ERA.NET 2	ERA-NET Cofund
Mem4BoTiReg	M-ERA.NET 3	ERA-NET Cofund
Balinga	Eurostars 2	Article 185
DeGraph	FLAG-ERA III	ERA-NET Cofund
ANTIVERSA	BiodivERsA3	ERA-NET Cofund
BIODV-AFREID	BiodivERsA3	ERA-NET Cofund
GenClim	BiodivClim	ERA-NET Cofund
BioReset	BiodivRestore	ERA-NET Cofund
ReDiverse	SusAn	ERA-NET Cofund
BIOMEMBRANE	M-ERA.NET 2	ERA-NET Cofund
BioArchitect	Eurostars 2	Article 185
BioFoodOnMars	FACCE SURPLUS	ERA-NET Cofund
BioFEGG	BESTF3	ERA-NET Cofund
BiogenInk	M-ERA.NET 2	ERA-NET Cofund
ReCROP	PRIMA	Article 185
BRAIN-MEND	JPco-fuND	ERA-NET Cofund
BioSHAConcrete	Eurostars 2	Article 185
BioFIND	JPco-fuND	ERA-NET Cofund
BioGuidePCa	Eurostars 2	Article 185
BTR-TB	EDCTP2	Article 185
BiomarKid	HDHL-INTIMIC	ERA-NET Cofund
BM-FARM	ICRAD	ERA-NET Cofund
BioFN	ERA-HDHL	ERA-NET Cofund
BioEndoCar	TRANSCAN-2	ERA-NET Cofund
ANTaRES	NEURON Cofund	ERA-NET Cofund
BIOSYS	MarTERA	ERA-NET Cofund
BERC-Luso	EDCTP2	Article 185
BioMoCISVA	Eurostars 2	Article 185
Biorg4WasteWaterVal+	WaterWorks2014	ERA-NET Cofund
ProDares	Eurostars 2	Article 185
BESTER	ERA CoBioTech	ERA-NET Cofund
SENSE-2-SPEC	Eurostars 2	Article 185
BIOFAST	Eurostars 2	Article 185
BioStat-LAB Africa	EDCTP2	Article 185
BIOTOOL	Eurostars 2	Article 185
BioAFC	M-ERA.NET 2	ERA-NET Cofund
INDIE	ERA CoBioTech	ERA-NET Cofund
FUNBREW	SUSFOOD2	ERA-NET Cofund
RHODOLIVE	ERA CoBioTech	ERA-NET Cofund
BIALYMP	TRANSCAN-3	ERA-NET Cofund
BISCELTECH	Eurostars 2	Article 185
HIMS_2	Eurostars 2	Article 185
BluCom	Eurostars 2	Article 185
Smart-PLACE	Eurostars 2	Article 185
SIGNAL	ERA PerMed	ERA-NET Cofund
BodyGuard	Eurostars 2	Article 185
BONAFIDE	Eurostars 2	Article 185
Biodiversify	PRIMA	Article 185
CAMELMILK	PRIMA	Article 185
BONEX	PRIMA	Article 185
PREVENT-VCI	ERA-CVD	ERA-NET Cofund
ECOBOOST	PRIMA	Article 185
BENEFIT-Med	PRIMA	Article 185
Bovine Hb	Eurostars 2	Article 185
B4HT	PRIMA	Article 185
BRAINTREE	NEURON Cofund2	ERA-NET Cofund
Alpha Beta	Eurostars 2	Article 185
Brain@Home	AAL 2	Article 185
NANOSENSOR	Eurostars 2	Article 185
SenSySkin	Eurostars 2	Article 185
YeastCraft	Eurostars 2	Article 185
BriSCL	Eurostars 2	Article 185
BASICS	JPIAMR-ACTION	ERA-NET Cofund
GAP-AFR	JPIAMR-ACTION	ERA-NET Cofund
Bright Future	ENSUF	ERA-NET Cofund
BrightFiber	Eurostars 2	Article 185
MEDITOMATO	PRIMA	Article 185
BiNatUr	BiodivRestore	ERA-NET Cofund
Lab-to-Sample	Eurostars 2	Article 185
BRICS	Eurostars 2	Article 185
Buddy4All	AAL 2	Article 185
BCA-WA-ETHICS	EDCTP2	Article 185
BUCARERZ	EDCTP2	Article 185
CAPA.CITY	ENSUF	ERA-NET Cofund
BIOVib	Eurostars 2	Article 185
BUILD CARE	EJP RD	EJP Cofund
Creating Interfaces	EN-SUGI	ERA-NET Cofund
SWM-CHARTS	FLAG-ERA III	ERA-NET Cofund
ID-CLINICAL CAPACITY	EDCTP2	Article 185
BRECOR	EDCTP2	Article 185
BLASTER	Eurostars 2	Article 185
Bussard	Solar Cofund 2	ERA-NET Cofund
BPM4TEST	Eurostars 2	Article 185
SUREMETS_BCOM	BlueBio	ERA-NET Cofund
LANTERN	ERA PerMed	ERA-NET Cofund
CAP-TB	EDCTP2	Article 185
CAP012 SAMBA Trial	EDCTP2	Article 185
CAPRISA 018	EDCTP2	Article 185
CARA-II	AAL 2	Article 185
CAREUP	AAL 2	Article 185
CARU cares	AAL 2	Article 185
CARMEN	Eurostars 2	Article 185
CATSET	Eurostars 2	Article 185
CAST	Eurostars 2	Article 185
NanoTheC-Aba	AquaticPollutants	ERA-NET Cofund
CETFlow	Eurostars 2	Article 185
CHARLIE	EJP RD	EJP Cofund
CLICK DESIGN	ForestValue	ERA-NET Cofund
CLIMALERT	ERA4CS	ERA-NET Cofund
CLIMASOMA	EJP SOIL	EJP Cofund
CLOUDSAIL	Eurostars 2	Article 185
Cloud-Atlas	Eurostars 2	Article 185
CLOCC	Eurostars 2	Article 185
CUSPIDOR	QuantERA	ERA-NET Cofund
CMOS-GRAPH	Eurostars 2	Article 185
COGNISANCE	JPCOFUND2	ERA-NET Cofund
Lasclad	Eurostars 2	Article 185
VULCADIME	Eurostars 2	Article 185
CO2.global	Eurostars 2	Article 185
COCARE	AAL 2	Article 185
COGNIVITRA	AAL 2	Article 185
aqUAFRESH	Eurostars 2	Article 185
COMBAT	JPIAMR-ACTION	ERA-NET Cofund
COMFORT	Eurostars 2	Article 185
CONFIRM!	Eurostars 2	Article 185
CONTRA	ENUTC	ERA-NET Cofund
CORAM	MANUNET III	ERA-NET Cofund
CORUS	Eurostars 2	Article 185
XL-BLADE	DemoWind	ERA-NET Cofund
COTIDIANA	AAL 2	Article 185
COLIDE	Eurostars 2	Article 185
COCOMO	EN-UAC	ERA-NET Cofund
CORE-PV	M-ERA.NET 2	ERA-NET Cofund
ComAlert	Eurostars 2	Article 185
COHDICH	NEURON Cofund2	ERA-NET Cofund
COAST	BiodivRestore	ERA-NET Cofund
COSEISMIQ	GEOTHERMICA	ERA-NET Cofund
COMETAS	MANUNET III	ERA-NET Cofund
CREATE	AAL 2	Article 185
CRUNCH	EN-SUGI	ERA-NET Cofund
CUOREMA	Eurostars 2	Article 185
3D-MBI	Eurostars 2	Article 185
CAMION	Eurostars 2	Article 185
COBRA	M-ERA.NET 3	ERA-NET Cofund
C2C	Eurostars 2	Article 185
INCIPIT	EMPIR	Article 185
COSMIC	Eurostars 2	Article 185
Callia	ERANet SmartGridPlus	ERA-NET Cofund
CAMEL-SHIELD	PRIMA	Article 185
CEVIR	TRANSCAN-2	ERA-NET Cofund
TEIGER	EuroNanoMed III	ERA-NET Cofund
CADAC	Eurostars 2	Article 185
CARIN-PT	ENUTC	ERA-NET Cofund
DROMAMED	PRIMA	Article 185
CCDMM	Eurostars 2	Article 185
CEDERS	ERA-GAS	ERA-NET Cofund
CAPTER	Eurostars 2	Article 185
Seekuence Medical	Eurostars 2	Article 185
CARBHEALTH	HDHL-INTIMIC	ERA-NET Cofund
UNIQUE	Solar Cofund 2	ERA-NET Cofund
CREATE	ACT	ERA-NET Cofund
CardioDSS	Eurostars 2	Article 185
CMIPA	Eurostars 2	Article 185
CaDERAL	EDCTP2	Article 185
CardioStressCI	ERA-CVD	ERA-NET Cofund
Care about Care, C^C	AAL 2	Article 185
CARELINK	AAL 2	Article 185
CoME	AAL 2	Article 185
CaPreCon	EuroNanoMed III	ERA-NET Cofund
SafeBox	Eurostars 2	Article 185
COFFEE	M-ERA.NET 3	ERA-NET Cofund
CONCORD	EuroNanoMed III	ERA-NET Cofund
CAUSALTOMICS	FLAG-ERA II	ERA-NET Cofund
Q-Clocks	QuantERA	ERA-NET Cofund
CELLUX	EuroNanoMed III	ERA-NET Cofund
BRIGHT	M-ERA.NET 3	ERA-NET Cofund
BioCel3D	M-ERA.NET 3	ERA-NET Cofund
CEMI	HERA-JRP-PS	ERA-NET Cofund
CentrOx™	Eurostars 2	Article 185
CANTAM2	EDCTP2	Article 185
Na-CerAnode	M-ERA.NET 3	ERA-NET Cofund
CERMETAD	M-ERA.NET 3	ERA-NET Cofund
CENTAUR	M-ERA.NET 2	ERA-NET Cofund
SNOWBALL	JPco-fuND	ERA-NET Cofund
ImmuneHyperCog	ERA-CVD	ERA-NET Cofund
SecureIoT	Eurostars 2	Article 185
16RPT02 ALCOREF	EMPIR	Article 185
ASF-INNOVAC	Eurostars 2	Article 185
BUR-EB	EJP RD	EJP Cofund
Biosens4PrecisionMastitis	ICRAD	ERA-NET Cofund
KSHV-HIV Mordibidity	EDCTP2	Article 185
MIRAGE	CSP ERANET	ERA-NET Cofund
MedSpon	BlueBio	ERA-NET Cofund
CHRYSALIS	TRANSCAN-3	ERA-NET Cofund
IFNASF	ICRAD	ERA-NET Cofund
CaTCH-22	EDCTP2	Article 185
CSMIS	PhotonicSensing	ERA-NET Cofund
PEP4LEP	EDCTP2	Article 185
CHAPAS 4	EDCTP2	Article 185
COAST-Nutrition	EDCTP2	Article 185
ChroNoct	AAL 2	Article 185
CRESCENDO	NEURON Cofund2	ERA-NET Cofund
CABALA_Diet&Health	ERA-HDHL	ERA-NET Cofund
CLEARANCE	WaterWorks2015	ERA-NET Cofund
CIPROMED	PRIMA	Article 185
AgrI-fiSh	PRIMA	Article 185
MaXycle	ERA-MIN 2	ERA-NET Cofund
CLEARNESS	ERA-MIN3	ERA-NET Cofund
Cider	ERA-MIN3	ERA-NET Cofund
UCIPredict	TRANSCAN-3	ERA-NET Cofund
CitiSense	ERA4CS	ERA-NET Cofund
eGROUDWATER	PRIMA	Article 185
TollsThatWork	EN-UAC	ERA-NET Cofund
ScIce	ICRAD	ERA-NET Cofund
ScResGoats	ICRAD	ERA-NET Cofund
CEFRABID	SOLAR-ERA.NET Cofund	ERA-NET Cofund
CTB Basics	M-ERA.NET 2	ERA-NET Cofund
CleverGuard	AAL 2	Article 185
C2PAE	Eurostars 2	Article 185
CCCfarming	ERA-GAS	ERA-NET Cofund
NordSalt	BiodivClim	ERA-NET Cofund
CHIPS	AXIS	ERA-NET Cofund
Senses	ERA4CS	ERA-NET Cofund
19SIP03 CRS	EMPIR	Article 185
CRRIsP	FOSC	ERA-NET Cofund
CLISWELN	ERA4CS	ERA-NET Cofund
FutureWeb	BiodivScen	ERA-NET Cofund
CLIMARCTIC	BiodivERsA3	ERA-NET Cofund
CIREG	ERA4CS	ERA-NET Cofund
CREST	ENUTC	ERA-NET Cofund
IPSUS	SUSFOOD2	ERA-NET Cofund
SmartDairy	SUSFOOD2	ERA-NET Cofund
ClimateCropping	EJP SOIL	EJP Cofund
CCE Breast	TRANSCAN-2	ERA-NET Cofund
PETictCAC	ERA PerMed	ERA-NET Cofund
X-AID	Eurostars 2	Article 185
PREV-PKDL	EDCTP2	Article 185
ASAAP	EDCTP2	Article 185
LAMP4Yaws	EDCTP2	Article 185
CANPSTS	EDCTP2	Article 185
COMPASS	ERA PerMed	ERA-NET Cofund
TH4RESPONS	TRANSCAN-2	ERA-NET Cofund
vINCI	AAL 2	Article 185
CH-Stroke	NEURON Cofund2	ERA-NET Cofund
Closed-Loop HUF	Eurostars 2	Article 185
Green-ADF	Eurostars 2	Article 185
WALKAGAIN	Eurostars 2	Article 185
eGAP	Eurostars 2	Article 185
WaterHarmony	WaterWorks2017	ERA-NET Cofund
CASE	Eurostars 2	Article 185
Power2SME	Eurostars 2	Article 185
CYB	EMEurope	ERA-NET Cofund
DECIDE	Eurostars 2	Article 185
Smart Onco LAb Research	Eurostars 2	Article 185
CM4Smart	MANUNET III	ERA-NET Cofund
PVADIP-C	MANUNET III	ERA-NET Cofund
CBENA	Eurostars 2	Article 185
Twice yearly treatment for the control of LF	EDCTP2	Article 185
CESEPS	ERANet SmartGridPlus	ERA-NET Cofund
CoSiBat	Eurostars 2	Article 185
SUSTAINBEEF	SusAn	ERA-NET Cofund
COCOS-IPF	EJP RD	EJP Cofund
CoCLiME	ERA4CS	ERA-NET Cofund
Co-Cli-Serv	ERA4CS	ERA-NET Cofund
CoSoPhy_FX	AAL 2	Article 185
CoachMyLife	AAL 2	Article 185
CO-TRAIN	AAL 2	Article 185
C2C-TEP	EDCTP2	Article 185
EVALA	Eurostars 2	Article 185
aDELAIDE	Eurostars 2	Article 185
MindSports	Eurostars 2	Article 185
CORE	Eurostars 2	Article 185
COLDLIGASE	Eurostars 2	Article 185
CO-HOPE / Collaborative Housing in a Pandemic Era	ENUTC	ERA-NET Cofund
CLEAR	SusCrop	ERA-NET Cofund
CoNECT	ENUTC	ERA-NET Cofund
CoQuaDis	QuantERA II	ERA-NET Cofund
CADMUSS	MarTERA	ERA-NET Cofund
EXTRASENS	QuantERA II	ERA-NET Cofund
Coma-AID	Eurostars 2	Article 185
ARPHILAKE	JPIAMR-ACTION	ERA-NET Cofund
LENTERDCOS	MANUNET III	ERA-NET Cofund
Hybrizyme	Eurostars 2	Article 185
CEBRiS	Eurostars 2	Article 185
CURE-OP	Eurostars 2	Article 185
CombiBio	Eurostars 2	Article 185
CASPAR 02	Eurostars 2	Article 185
CHAPS	EDCTP2	Article 185
CANAAN	Eurostars 2	Article 185
ComFORMD	Eurostars 2	Article 185
BENEFIZZO	Eurostars 2	Article 185
CATCH-HEMI	ERA PerMed	ERA-NET Cofund
PlantIntake	HDHL-INTIMIC	ERA-NET Cofund
JAME	AAL 2	Article 185
CombiFarm	PRIMA	Article 185
ModelDXConsciousness	FLAG-ERA III	ERA-NET Cofund
3DForMod	ERA-GAS	ERA-NET Cofund
Sense and Purify, SPy	WaterWorks2017	ERA-NET Cofund
CREATE Gait Trainer	Eurostars 2	Article 185
CHOKO-AGE	ERA-HDHL	ERA-NET Cofund
SimBa	Eurostars 2	Article 185
UFBC	Eurostars 2	Article 185
BlueCC	BlueBio	ERA-NET Cofund
SuMaFood_BCOM	BlueBio	ERA-NET Cofund
PPA-Litho	Eurostars 2	Article 185
CEZANNE	Eurostars 2	Article 185
localMND	JPco-fuND	ERA-NET Cofund
CASSIUS	Eurostars 2	Article 185
17IND02 SmartCom	EMPIR	Article 185
CLARIFY	ERA-CVD	ERA-NET Cofund
CODALoop	ENSCC	ERA-NET Cofund
TB TRAIGE+	EDCTP2	Article 185
COMRADE	Eurostars 2	Article 185
CUVRE	Eurostars 2	Article 185
CHEG	DemoWind	ERA-NET Cofund
CHEF	DemoWind 2	ERA-NET Cofund
CoM3	MANUNET III	ERA-NET Cofund
STOREF	Eurostars 2	Article 185
LOCALGEN	Eurostars 2	Article 185
CURE	Eurostars 2	Article 185
CORTICITY	FLAG-ERA II	ERA-NET Cofund
LEPTIMMUNHOST	ICRAD	ERA-NET Cofund
STROKE-POC	NEURON Cofund2	ERA-NET Cofund
CILIA-LGBTQI+	DIAL	ERA-NET Cofund
Reg. Science-Fellows	EDCTP2	Article 185
CF2T	OCEANERA-NET COFUND	ERA-NET Cofund
COMGRAV	Solar Cofund 2	ERA-NET Cofund
CiaBDATA	Eurostars 2	Article 185
COMPACT	MANUNET III	ERA-NET Cofund
CELMAT	Eurostars 2	Article 185
CoSuCais	Eurostars 2	Article 185
Hybrid_beams	M-ERA.NET 2	ERA-NET Cofund
ComPylon	Eurostars 2	Article 185
CAGE	GEOTHERMICA	ERA-NET Cofund
COM℗TRANS	M-ERA.NET 2	ERA-NET Cofund
4CUSTHER	MANUNET III	ERA-NET Cofund
ComPAIR	Eurostars 2	Article 185
MOLCARUTUC	TRANSCAN-2	ERA-NET Cofund
COMPIT	Eurostars 2	Article 185
Im-compr-IVD	Eurostars 2	Article 185
APH-ALARM	AAL 2	Article 185
ComTraForce	EMPIR	Article 185
ComRaDes	ERA CoBioTech	ERA-NET Cofund
ONCOLOGICS	ERA PerMed	ERA-NET Cofund
DR-Design	Eurostars 2	Article 185
ConSense	Eurostars 2	Article 185
CLUE	EN SGplusRegSys	ERA-NET Cofund
Choke valve condition	Eurostars 2	Article 185
ARA - Adolescents’ Retention and Adherence Trial	EDCTP2	Article 185
CONFIRM	Eurostars 2	Article 185
Pathway Disco	Eurostars 2	Article 185
CONHOIST	Eurostars 2	Article 185
My Own Agency Connector	Eurostars 2	Article 185
ConnectFarms	SusAn	ERA-NET Cofund
AgroBioConnect	SusCrop	ERA-NET Cofund
BIOVEINS	BiodivERsA3	ERA-NET Cofund
WOODNET	BiodivERsA3	ERA-NET Cofund
CONTACT	AquaticPollutants	ERA-NET Cofund
DEEP REST	BiodivRestore	ERA-NET Cofund
REMOVE_DISEASE	BiodivRestore	ERA-NET Cofund
Future BirdScenarios	BiodivScen	ERA-NET Cofund
CREDU	EDCTP2	Article 185
CIVIC	ENSCC	ERA-NET Cofund
LIPI	Eurostars 2	Article 185
SocialQuick	Eurostars 2	Article 185
COSAR	BiodivRestore	ERA-NET Cofund
K'Watch MULTI	Eurostars 2	Article 185
ContiBio	ERA CoBioTech	ERA-NET Cofund
CoPs-	Eurostars 2	Article 185
SmartAF	Eurostars 2	Article 185
CVSTAR	QuantERA II	ERA-NET Cofund
C'MON-QSENS!	QuantERA	ERA-NET Cofund
ParCam	EDCTP2	Article 185
COMPASS	MarTERA	ERA-NET Cofund
CEBBEC	QuantERA	ERA-NET Cofund
ConSpiQuOS	QuantERA II	ERA-NET Cofund
CoCaCO2la	ACT	ERA-NET Cofund
CarboNor	Eurostars 2	Article 185
T-to-Power	Eurostars 2	Article 185
SuperPower	Eurostars 2	Article 185
Coco	M-ERA.NET 3	ERA-NET Cofund
COMET	Solar Cofund 2	ERA-NET Cofund
SmartMatter	M-ERA.NET 2	ERA-NET Cofund
CornerStone	Eurostars 2	Article 185
GRANSPORT	FLAG-ERA II	ERA-NET Cofund
Micronet	NEURON Cofund	ERA-NET Cofund
CUSTCO	Solar Cofund 2	ERA-NET Cofund
ECOCOMP	Eurostars 2	Article 185
CERA-SG	ERANet SmartGridPlus	ERA-NET Cofund
OptiFemVac	Eurostars 2	Article 185
CEBIOTREAT	MANUNET III	ERA-NET Cofund
eBoost	MANUNET III	ERA-NET Cofund
iTorque	Eurostars 2	Article 185
crystalMOLD	Eurostars 2	Article 185
17FUN07 CC4C	EMPIR	Article 185
CUPS	Eurostars 2	Article 185
COUPLE	Eurostars 2	Article 185
CovIsoLink	Eurostars 2	Article 185
SANCHOSTHIRST	EJP SOIL	EJP Cofund
GrazyDaiSy	CORE Organic Cofund	ERA-NET Cofund
M4H2LM	Eurostars 2	Article 185
CircularCityChallenge	ENUTC	ERA-NET Cofund
CRITEVENTS	DIAL	ERA-NET Cofund
C4C	FOSC	ERA-NET Cofund
CREATE	FOSC	ERA-NET Cofund
MultiportGrid	EN SGplusRegSys	ERA-NET Cofund
GeoConnect3D	GeoERA	ERA-NET Cofund
CROSSDRO	AXIS	ERA-NET Cofund
CrossChargePoint	EN SGplusRegSys	ERA-NET Cofund
CRUSEV	HERA JRP UP	ERA-NET Cofund
CryoED	Eurostars 2	Article 185
CryoGenX	Eurostars 2	Article 185
PASPACK 4.0	PRIMA	Article 185
MAGIC CUE	Eurostars 2	Article 185
DIAMA	EDCTP2	Article 185
CureDravet	E-Rare-3	ERA-NET Cofund
DNABEATS	M-ERA.NET 3	ERA-NET Cofund
CyberSnap	Eurostars 2	Article 185
CAEPCPT	Eurostars 2	Article 185
CR3PES	Eurostars 2	Article 185
Cytosolver	Eurostars 2	Article 185
DCSMART	ERANet SmartGridPlus	ERA-NET Cofund
DoRES	EnerDigit	ERA-NET Cofund
INNOVATIVE WOUND CARE	Eurostars 2	Article 185
DISSIPLAST	Eurostars 2	Article 185
DETECtOR	Eurostars 2	Article 185
DECOrGO	Eurostars 2	Article 185
DERIVE	ERA-HDHL	ERA-NET Cofund
DigiCiti	EnerDigit	ERA-NET Cofund
DISPATCH	Eurostars 2	Article 185
DISOPED	CSP ERANET	ERA-NET Cofund
DIAMOND	Eurostars 2	Article 185
BIOWAT-KIT	Eurostars 2	Article 185
DNP-HOPE	Eurostars 2	Article 185
DPem	E-Rare-3	ERA-NET Cofund
SILVERFOG	Eurostars 2	Article 185
DAINME-SME	PRIMA	Article 185
PEVO data	ERA PerMed	ERA-NET Cofund
DDD-BATMAN	MarTERA	ERA-NET Cofund
4D-HEALING	ERACoSysMed	ERA-NET Cofund
MED-LINKS	PRIMA	Article 185
DATARAMP	Eurostars 2	Article 185
DATADRIVEN	Governance	ERA-NET Cofund
ACCES	BiodivScen	ERA-NET Cofund
DeCoDis	NEURON Cofund2	ERA-NET Cofund
DACAPO-AD	JPco-fuND	ERA-NET Cofund
IMMUNOGLIO	TRANSCAN-2	ERA-NET Cofund
TB-SPEC	EDCTP2	Article 185
PREVENTER	ICRAD	ERA-NET Cofund
DESUMA	Eurostars 2	Article 185
ActiveAdvice	AAL 2	Article 185
MilKey	ERA-GAS	ERA-NET Cofund
DSWAP	PRIMA	Article 185
BIOCONSENT	BiodivRestore	ERA-NET Cofund
IntegrCiTy	ENSCC	ERA-NET Cofund
ASFVInt	ICRAD	ERA-NET Cofund
Brain4Sight	NEURON Cofund2	ERA-NET Cofund
IRONPEAT	Eurostars 2	Article 185
EMPT-CAN	Eurostars 2	Article 185
DELICOAT	Eurostars 2	Article 185
DECODE!	NEURON Cofund	ERA-NET Cofund
DeepBrainResonater	Eurostars 2	Article 185
DREIN	EDCTP2	Article 185
DRAMA	TRANSCAN-2	ERA-NET Cofund
DEMETRA	M-ERA.NET 3	ERA-NET Cofund
DECODE	JPIAMR-ACTION	ERA-NET Cofund
SmartGuide	ERANet SmartGridPlus	ERA-NET Cofund
PREDICO	TRANSCAN-3	ERA-NET Cofund
GENFI-prox	JPCOFUND2	ERA-NET Cofund
DECODE	ERA PerMed	ERA-NET Cofund
AdapTB	ICRAD	ERA-NET Cofund
DRIVE	Eurostars 2	Article 185
VICTORIOUS	Eurostars 2	Article 185
PROSTRIG	SusCrop	ERA-NET Cofund
DART	Eurostars 2	Article 185
GridFriends	ERANet SmartGridPlus	ERA-NET Cofund
DemiCare	AAL 2	Article 185
DEEPEN	Governance	ERA-NET Cofund
SB4DViewer	Eurostars 2	Article 185
DEE-DCR-RE	Eurostars 2	Article 185
DEVAELA	Eurostars 2	Article 185
GasTech	ACT	ERA-NET Cofund
PACS 2020	Eurostars 2	Article 185
MineGas	Eurostars 2	Article 185
DeCAS	ERANet SmartGridPlus	ERA-NET Cofund
EverLoNG	ACT	ERA-NET Cofund
THERAGET	EuroNanoMed III	ERA-NET Cofund
DAPAS	AAL 2	Article 185
DEEPDEAD	HERA JRP UP	ERA-NET Cofund
FreshGRASS	Eurostars 2	Article 185
D-Rex	ERA-MIN 2	ERA-NET Cofund
SAFOOD4MED	PRIMA	Article 185
DELIGHT	Solar Cofund 2	ERA-NET Cofund
DeeMa	M-ERA.NET 2	ERA-NET Cofund
IntegralKWA	Eurostars 2	Article 185
HySpine	Eurostars 2	Article 185
KLEOPATRA	JPIAMR-ACTION	ERA-NET Cofund
VARIANT	JPIAMR-ACTION	ERA-NET Cofund
DIMAER	Eurostars 2	Article 185
DeMARC	MarTERA	ERA-NET Cofund
Deasphor	ERA-MIN 2	ERA-NET Cofund
LeukeMab	Eurostars 2	Article 185
The Entrepreneur Test	Eurostars 2	Article 185
DESIGN	JPIAMR-ACTION	ERA-NET Cofund
TREAT-ARCA	EJP RD	EJP Cofund
NanoElMem	M-ERA.NET 2	ERA-NET Cofund
DeMeGRaS	FLAG-ERA III	ERA-NET Cofund
ESCEND	TRANSCAN-2	ERA-NET Cofund
IPTp SP resistance in Nigeria	EDCTP2	Article 185
CoNAIPS	EDCTP2	Article 185
Heroes	EMPIR	Article 185
DETECT	ACT	ERA-NET Cofund
DETECTIN-HF	ERA-CVD	ERA-NET Cofund
TECHONEY	PRIMA	Article 185
SUSTEMICROP	PRIMA	Article 185
RB4.0	Eurostars 2	Article 185
PRETWINSCREEN	ERA PerMed	ERA-NET Cofund
DipSlide	MANUNET III	ERA-NET Cofund
1500-SIC	SOLAR-ERA.NET Cofund	ERA-NET Cofund
Bioralix	Eurostars 2	Article 185
FreeWalk	SusAn	ERA-NET Cofund
3eflow Smart Control	Eurostars 2	Article 185
Lib-Regul-Trials	EDCTP2	Article 185
Agronickel	FACCE SURPLUS	ERA-NET Cofund
TEST	Eurostars 2	Article 185
MAC-Brain	FLAG-ERA II	ERA-NET Cofund
14SIP05 TF-STANDARD	EMPIR	Article 185
SPECTRE	Eurostars 2	Article 185
CASUS	Eurostars 2	Article 185
TUXIRA	Eurostars 2	Article 185
ELEVATE	Eurostars 2	Article 185
FORTO	AAL 2	Article 185
HPC Boiler	Eurostars 2	Article 185
ISO Gauge	EMPIR	Article 185
adOSSIG	EMPIR	Article 185
AlienScenarios	BiodivScen	ERA-NET Cofund
BIO-AX-TBI	NEURON Cofund	ERA-NET Cofund
opTIMISm	Eurostars 2	Article 185
CEREBRI	Eurostars 2	Article 185
16NRM01 GRACE	EMPIR	Article 185
ProFaba	SusCrop	ERA-NET Cofund
LimnoScenES	BiodivScen	ERA-NET Cofund
SCOOP	CORE Organic Cofund	ERA-NET Cofund
Med-Berry	PRIMA	Article 185
RNA EPIGENETIX	Eurostars 2	Article 185
antineuropatho	EuroNanoMed III	ERA-NET Cofund
LOCALNUTLEG	PRIMA	Article 185
16RPT03 inTENSE	EMPIR	Article 185
SUSCAP	SusCrop	ERA-NET Cofund
CoRouge	Eurostars 2	Article 185
14RPT05 Eura-Thermal	EMPIR	Article 185
ITAM	Eurostars 2	Article 185
FOREWARN	AquaticPollutants	ERA-NET Cofund
DEEP SEA	PhotonicSensing	ERA-NET Cofund
H2MobilHydride	M-ERA.NET 3	ERA-NET Cofund
Breeze	Eurostars 2	Article 185
DDIBIORESIN	Eurostars 2	Article 185
FSFOUND	DemoWind	ERA-NET Cofund
VEGANScreener	HDHL-INTIMIC	ERA-NET Cofund
TRA-COAT	JPIAMR-ACTION	ERA-NET Cofund
OCEANSensor	MarTERA	ERA-NET Cofund
HaloFarMs	PRIMA	Article 185
TREAT-SGS	EJP RD	EJP Cofund
GateHopper	Eurostars 2	Article 185
ECOSAFEFARMING	WaterWorks2015	ERA-NET Cofund
CEMENTEGRITY	ACT	ERA-NET Cofund
NIMF	Eurostars 2	Article 185
ARCTICOOL	Eurostars 2	Article 185
EPITHYDIA	Eurostars 2	Article 185
RESERVOIR	JPIAMR-ACTION	ERA-NET Cofund
ADHERE	EN SGplusRegSys	ERA-NET Cofund
AFFILUTIN™	Eurostars 2	Article 185
BONIFIB	Eurostars 2	Article 185
BIOPESTICIDES	PRIMA	Article 185
Bio4Cryo	M-ERA.NET 2	ERA-NET Cofund
ImmuneNOVA	Eurostars 2	Article 185
Immune-NOVA	Eurostars 2	Article 185
NAN-4-TUM	EuroNanoMed III	ERA-NET Cofund
PEROSOLAR	Solar Cofund 2	ERA-NET Cofund
DEMOS	Eurostars 2	Article 185
Humexe ReAdvance	Eurostars 2	Article 185
LPCVD	Eurostars 2	Article 185
MatLaMeD	M-ERA.NET 2	ERA-NET Cofund
MOFAC2CAP	M-ERA.NET 2	ERA-NET Cofund
DeFiber	Eurostars 2	Article 185
WPRD_FCE	Eurostars 2	Article 185
PulpIng	PRIMA	Article 185
QuarInTex	Eurostars 2	Article 185
15RPT01 RFMicrowave	EMPIR	Article 185
SMARTAQUA	MarTERA	ERA-NET Cofund
SMARTGRID	Eurostars 2	Article 185
SoilSynbiotics	EJP SOIL	EJP Cofund
